path,species,count,genus
train/BAY-BREASTED WARBLER/005.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/015.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/002.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/003.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/004.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/011.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/035.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/103.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/012.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/013.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/071.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/001.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/008.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/014.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/006.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/009.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/023.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/033.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/025.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/021.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/016.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/034.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/018.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/024.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/019.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/031.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/028.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/029.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/030.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/026.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/032.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/051.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/027.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/098.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/040.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/057.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/052.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/070.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/042.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/020.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/038.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/061.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/101.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/050.jpg,BAY-BREASTED WARBLER,143,WARBLER
train/BAY-BREASTED WARBLER/041.jpg,BAY-BREASTED WARBLER,143,WARBLER
